name,stationcount
97.3,8
97.3 fm,12
97.4,1
97.4 fm,1
97.5,2
97.5 fm,8
97.6,1
97.6 fm,1
97.7,5
97.7 fm,9
97.9,5
97.9 fm,10
97.une,1
970,1
970 am,4
97x,1
97x.fm,1
97xfm,1
98,1
98.0,1
98.1,7
98.1 fm,14
98.2,1
98.3,3
98.3 fm,7
98.4,1
98.5,9
98.5 fm,15
98.6,1
98.7,7
98.7 fm,7
98.9,5
98.9 fm,14
98live,1
99.0,2
99.0 fm,2
99.1,5
99.1 fm,11
99.3,11
99.3 fm,22
99.4,2
99.4 fm,2
99.5,2
99.5 fm,7
99.7,6
99.7 fm,15
99.9,4
99.9 fm,11
990 am,2
9ties,1
:-),1
@bwayrecords,1
@fm,31
@fm te conecta,31
\,1
a cappella,1
a strangely isolated place,1
aaa,14
aac,47
aac 64,1
aac+,13
abba,2
abbotsford,1
abc,74
abc australia,1
abc deportes,1
abc news,1
abc noticias,2
abc radio,19
abdulbasit,1
abdulrahman,1
abdulsamad,1
abendschau,1
abilene,3
abisuak,1
aboriginal,8
aboriginal music,1
abrera,1
abriss,1
abrissparty,1
absolute music,2
abstract,4
abstract hip-hop,2
abstract rap,1
abtnaundorf,2
ac,2
ac dc,2
ac/dc,17
academia,1
acadian,1
acaponeta,1
acapulco,13
acayucan,3
acb,5
acb media,5
accapella,1
accordéon,2
accoustic,1
acdc,12
aci,1
acicastello,1
acid,6
acid house,1
acid jazz,10
acid-house,1
acidcore,1
acir,82
acir online,35
acireale,1
acores,1
acousmatic,3
acoustic,32
acoustic guitar,3
acoustic rock,1
action,1
activa,1
active rock,33
activismo,3
activismo social,1
actu,2
actualidad,12
actualites,3
actualités,1
acustic,3
acustik radio,3
acámbaro,3
ad,1
ad free,4
ada,2
add_free,1
added by redbullet28,1
added by shivam,12
adelaide,6
adelsberg,1
adfree,2
adictiva radio,2
adictivo radio,2
adlut contemporary,3
adom,2
adom fm,2
adoracion,2
adul,1
adult,34
adult album alternative,53
adult alternative,16
adult alternative pop rock,2
adult classic pop,1
adult contempary,2
adult contemporany,2
adult contemporary,731
adult conterporary,1
adult entertainment,1
adult hits,118
adult hits & dance - adult hits/adult,1
adult pop,1
adult rock,3
adult spanish hits,9
adult standards,12
adult top 40,8
adulta,8
adulte contemporain,1
adulto,2
adulto contemporaneo,1
adulto contemporáneo,4
adulto joven,4
advent,2
adventist,5
adventista,2
adventure,3
advertising,5
aereoporto,1
aerosmith,3
aesthetic,1
afghan,1
afk,3
africa,7
african,10
african american,1
african hip hop,2
african music,90
african news,1
african pop,3
african radio,1
afrikaans,1
afrikaburn,1
afrique,2
afro,8
afro disco,1
afro house,2
afro jazz,1
afro soul,1
afro vocal,1
afro-cuban jazz,1
afro-latin music,3
afro-pop,3
afro-rock,1
afrobeat,6
afrobeats,23
afrofusion,1
afropop,5
afrosoul,1
afterwork,1
agape,1
agarthan,1
agencia informativa latinoamericana,1
aggression,1
aggrotech,3
agriculture,14
agrigento,2
agronegócio,1
agua prieta,2
aguachica,1
aguascalientes,28
aguascalientes city,7
ahlsdorf,4
ai,1
ai audio experience,1
ai generated,1
ain,1
air,4
airchecks,2
airport,1
airway heights,1
ajax,1
akron,2
aktionen,1
aktorska,1
aktuell,4
aktuelle stunde,1
aktueller bericht,1
akwesasne,1
al,1
al aan,1
al amazighia en direct,1
al-bilad radio,1
alaan,1
alabama,6
alabama crimson tide sports,1
alabama jazz hall of fame,1
alabanzas,2
alamosa,1
alan jackson,2
alarm,2
alaska,2
alaska public radio,2
alaturka,5
albacete,2
albania,1
albanian music,2
albany,4
albarka radio,2
albarka radio 97.5,2
albavilla,1
albenga,2
alberta,1
album,4
album oriented rock,1
album rock,24
album tracks,2
albuquerque,1
alcanar,1
alcúdia,1
aleatório,3
alert,3
alerta nacional,1
alerta nacional 24hs,1
alessandria,1
alfa,2
alfa rock,1
ali alhuthaifi,1
alica medios,5
alice cooper,2
alice springs,1
alistair begg,1
aljazeera,1
all 80s,7
all ages,1
all generations,1
all india radio,5
all kind,1
all music,3
all the hits,1
all-time favourites,2
all-time-classics,5
allaturca,1
alle farben,1
alle keywords in einer zeile: coloxtra,1
alle neuen clubhits,2
allende,1
allentown,1
allstedt,4
allzic,1
alma radio,1
almería,6
aloyoon alkoshi - rewaya warsh a'n nafi',1
alpen,1
alpenfetzer,1
alpenrock,1
alpicat,1
alpignano,4
alpine,1
alseraj,1
alseraj radio quran,1
alsudais,1
alt country,1
alt rock,2
alt-folk,3
alta,1
altafulla,1
altaiskiy,1
altaiy,3
altaiyskiy,1
altchemnitz,1
alte,1
altea,1
alternate,1
alternativ,1
alternativ rock,1
alternativa 98,1
alternative,543
alternative / indie,40
alternative 70s,2
alternative 80s,2
alternative classics,7
alternative country,14
alternative indie rock,9
alternative metal,6
alternative pop,11
alternative pop rock,4
alternative r&b,1
alternative rock,258
alternative wave,3
alternative youth culture station,2
alternative électronique tekno,1
alternative/indie,2
alternativer radiosender,1
alternativo,1
alternatywa,2
althen,2
altmittweida,1
alto lucero,1
altstadt,6
am,169
am 1420,1
am con vos,1
am pop,17
am1089,1
am1161,1
am1206,1
am1380,1
am1557,2
am1629,1
am783,1
am828,1
am830,1
am910,1
am999,1
amador,5
amanda stoker,1
amapiano,9
amarillo,1
amateur radio,1
amateurfunk,11
amazon cumbia,1
ambiance,1
ambiant,1
ambient,264
ambient and relaxation music,76
ambient black metal,1
ambient dub,1
ambient easy listening,2
ambient electronic,1
ambient jazz,1
ambient lounge,4
ambient techn,1
ambient techno,5
ambiental,11
ambiental și lounge,1
ambiente,2
amchikonkani,1
ameca,2
amecameca,2
america,1
america's country,1
america's pure rock,1
american,2
american comedy,2
american council of the blind,6
american forces network,23
american r&b 90s,2
american top 40,2
american underground,1
americana,46
amg,7
amharic,4
amherst,4
amherst island,1
amiga,5
amlo,1
ammendorf,4
ammie,1
amor,26
amor 101,1
amor es,1
amor sólo música romántica,23
amore,2
amos,1
amour,1
amsterdam,3
amsterdam-zuidoost,1
amtrak,1
américa,330
analog,2
analog rock,1
analysen aus politik und kultur,1
anan,1
anarchism,3
anarcho-punk,1
anbetung,1
anchorage,1
ancient music,4
ancona,3
and english,1
andalucía,6
andorra la vella,1
andover,1
andres manuel lopez obrador,1
andré luiz,1
anekdot,1
angels radio,1
anger,2
anglo,4
anguilla,2
angura kei,1
animals,1
anime,54
anime groove,3
anime openings,8
anime ost,1
anime radio,11
animegroove,3
ankara,3
ankara üniversitesi,1
ann arbor,4
annaberg-buchholz,1
annapolis,1
annapolis valley,2
annecy,1
anni 60,1
anni 70,3
anni 80,5
anni 90,3
année 2000,1
année90,1
années 80,16
anonymous,2
anos 2000,6
anos 70,1
anos 80,5
anos 90,2
anos80,1
anos90,1
anrode,4
antananarivo,1
antena,1
antena 1,8
antena 1 açores,1
antena 1 madeira,1
antena 1 memoria,1
antena 2,1
antena braşovului,1
antenna,1
antenne mv,1
anthems,6
anthrax,12
anticomunist,1
antifa,10
antifa news,1
antifaschismus,1
antigua y barbuda,2
antikapitalismus,9
antirassismus,1
antisemitism,1
anzio,1
anáhuac,1
análise,1
aor,17
aor / slow rock / soft rock,1
aor / slow rock / soft rock (adult-orientated rock e.g. the eagles.),6
aor/slow rock/soft rock,2
aosta,3
ap grupo radio,2
apache 207,1
apache junction,1
apatzingán,1
apizaco,1
apm,45
apocrypha,1
apodaca,1
apollo radio))),5
app-id=335003717 (apple-itunes-app),1
appleton,3
apresski,6
aqua,1
aquí nomás,45
arab,7
arab music,2
arabesk,27
arabesk fantazi,19
arabic,35
arabic hits,1
arabic music,20
arabic songs,4
aracaju,1
aracatuba,1
aragon,2
arahal,1
araçatuba,1
arca,1
arctic monkeys,1
ard,53
ard zdf,1
ard zdf deutschlandradio rundfunkbeitrag,9
ard-aktuell,1
ard-alpha,1
ard-mdr,3
ard-“anne will“,1
ard-“hart aber fair“,1
ardió rumbos 670,3
arena rock,5
arenys de mar,1
arenys de munt,1
arganil,1
argentia,1
argentina,36
argentine football,2
argentine rock,1
argentine sports news,1
arima,1
aris,1
arizona,3
armenian,4
armonia,2
arnsdorf,2
arnstein,4
arqueologia,1
arre en acustik,3
arroba fm,32
arroba fm te conecta,31
arrocha,1
art,6
art bell,3
art music,1
art rock,23
art rock(e.g. talking heads),3
arte,2
artesanias,1
artist,3
artistes locaux,1
artists,6
artrock,1
arts,30
aruba,2
as roma,3
asamblea,1
aschersleben,4
asheville,1
ashland,3
ashtabula county,1
asiago,1
asian,7
asian music,2
asian pop,2
asian urban hits,1
asip,1
asmr,2
aspen,1
assembly of god,1
assisi,7
associatif,1
associative,2
astoria,1
astro,1
at 40,4
at work,1
at40,3
atacama,1
atari,1
atasehir,1
atea,1
ateas,1
ateismo,1
ateo,1
ateos,1
atessa,4
athabasca,1
athens,2
atherton,2
atherton tablelands,1
athos,2
atlacomulco,1
atlanta,8
atlantian,1
atlantic,1
atlantic beach,1
atlixco,2
atmospheric,12
atmospheric black metal,3
atmospheric space music,1
atonal,1
auburn,2
audio,1
audio art,1
audio drama,1
audiobook,6
audiobooks,6
audycje pułkownika piotra wrońskiego,1
aue-bad schlema,1
augsburg,2
augustusburg,1
auslandsfernsehen,2
aussie rising stars,1
aussie rock,1
austausch über kulturelle themen,2
austin,5
austin area,1
australia,6
australian music,20
austrian music,5
austrian pop music,2
austrohits,1
austropop,5
autism,9
auto,9
auto y más,1
autogestión,2
automobile,1
autonomia operaia,1
autonomia tecnologica,1
autorace,1
autorennen,1
autos y más,2
autosport,1
autres,1
auvergne,1
avanradio,7
avanradio radiorama,2
avant garde,12
avant-garde,29
avant-garde jazz,3
avant-garde rock,1
avante-garde,1
avantgarde,4
avellaneda,1
avellino,2
avezzano,1
aviano,1
aviation,1
avon,1
axel springer,2
axé,2
ayacucho,1
azeri,2
azonto,1
azores,1
azul radio,3
açores,1
aşık,1
b,1
baalsdorf,2
baba,1
baby,3
bach,12
bachata,52
bachata 70 & 80 varios,2
bachelor,1
back fm,1
background,2
background reports,2
backstreet boys,1
bad axe,1
bad bibra,4
bad dã¼rrenberg,2
bad dürrenberg,2
bad lauchstã¤dt,2
bad lauchstädt,2
bad lausick,2
bad schandau,2
badajoz,1
badalona,1
baden,1
baghdad,2
bagpipes,2
bagé,1
baha'i,1
bahamas,2
bahia,1
bahrain,3
bahrain fm 93.3,1
bahía de banderas,2
baiana,1
bailable,12
bailanta,1
baileyś harbor,1
bairische popmusik,1
bairische rockmusik,1
baja california,54
baja california sur,1
bajío,3
baker city,1
bakersfield,2
baku,2
balada,85
balada en español,92
balada pop,88
balada romántica,26
baladas,107
baladas 70 80 cumbia tecno varios,1
baladas 70 80 cumbia varios,1
baladas 70 80 varios,1
baladas clásicos tecno 70 80 varios,3
baladas cumbia 70 80 varios,1
baladas en español,181
baladas en ingles,16
baladas en inglés,8
baladas música popular colombiana nacional varios,3
baladas nacional corridos varios,1
baladas rock alternativa varios,2
baladas tecno 70 80 varios,1
balaguer,1
balearic,2
balearic beat,3
balearic house,5
balgstã¤dt,2
balgstädt,2
balkan,7
ballad,3
ballade,2
balladen,14
ballads,56
ballady,1
ballermann,2
ballet,1
ballroom,1
baltimore,6
bamako,3
